hierarchy,name,description
machine tools > drill lines,drill lines,
machine tools > edm machines,edm machines,
machine tools > eccentric presses,eccentric presses,
machine tools > engraving machines,engraving machines,
machine tools > facing & centering machines,facing & centering machines,
machine tools > forging,forging,
machine tools > forging presses,forging presses,
machine tools > gantry/planer/portal mills,gantry/planer/portal mills,
machine tools > gear cutting,gear cutting,
machine tools > gear finishing,gear finishing,
machine tools > gear generators,gear generators,
machine tools > gear hobbing,gear hobbing,
machine tools > gear inspection,gear inspection,
machine tools > gear shaping,gear shaping,
machine tools > grinding machines,grinding machines,
machine tools > heavy duty lathes,heavy duty lathes,
machine tools > honing machines,honing machines,
machine tools > laser cutters,laser cutters,
machine tools > lathes,lathes,
machine tools > machining centers,machining centers,
machine tools > metal rolling,metal rolling,
machine tools > metalworking measuring instruments,metalworking measuring instruments,
machine tools > milling machines,milling machines,
machine tools > multi-spindle drilling machines,multi-spindle drilling machines,
machine tools > notching machines,notching machines,
machine tools > parts washers,parts washers,
machine tools > pillar drills & drill presses,pillar drills & drill presses,
machine tools > plasma cutters,plasma cutters,
machine tools > press brakes,press brakes,
machine tools > presses,presses,
machine tools > punch machines,punch machines,
machine tools > punch presses,punch presses,
machine tools > radial drills,radial drills,
machine tools > riveting machines,riveting machines,
machine tools > rotary tables,rotary tables,
machine tools > saws,saws,
machine tools > shearing equipment,shearing equipment,
machine tools > sheet metal processing,sheet metal processing,
machine tools > slitters & slitting lines,slitters & slitting lines,
machine tools > stamping presses,stamping presses,
machine tools > threading & tapping,threading & tapping,
machine tools > transfer machines,transfer machines,
machine tools > turret lathes,turret lathes,
machine tools > vertical lathes,vertical lathes,
machine tools > vibratory finishing machines,vibratory finishing machines,
machine tools > water jet cutters,water jet cutters,
machine tools > welding equipment,welding equipment,
machine tools > wire machinery,wire machinery,
material handling,material handling,
material handling > airport ground support equipment (gse),airport ground support equipment (gse),
material handling > forklifts,forklifts,
material handling > material handlers,material handlers,
material handling > order pickers,order pickers,
material handling > overhead cranes,overhead cranes,
material handling > pallet stackers,pallet stackers,
material handling > pallet trucks,pallet trucks,
material handling > reach stackers & container handlers,reach stackers & container handlers,
material handling > reach trucks,reach trucks,
material handling > sideloaders,sideloaders,
material handling > telehandlers,telehandlers,
material handling > terminal tractors,terminal tractors,
material handling > tow tractors,tow tractors,
material handling > turret trucks(vna),turret trucks(vna),
"material handling > vacuum lifts, sheet metal lifters","vacuum lifts, sheet metal lifters",
"oil, gas & mining","oil, gas & mining",
"oil, gas & mining > apron plate feeders",apron plate feeders,
"oil, gas & mining > articulated haulers",articulated haulers,
"oil, gas & mining > ball mills (mineral processing)",ball mills (mineral processing),
"oil, gas & mining > coiled tubing",coiled tubing,
"oil, gas & mining > crushers and screening plants",crushers and screening plants,
"oil, gas & mining > drilling rigs",drilling rigs,
"oil, gas & mining > duplex pumps",duplex pumps,
"oil, gas & mining > frac pumps",frac pumps,
"oil, gas & mining > frac tanks",frac tanks,
"oil, gas & mining > ground support mining equipment",ground support mining equipment,
"oil, gas & mining > haul trucks",haul trucks,
"oil, gas & mining > jumbo drills",jumbo drills,
"oil, gas & mining > lhd - mining loaders",lhd - mining loaders,
"oil, gas & mining > mineral processing",mineral processing,
"oil, gas & mining > mud pumps",mud pumps,
"oil, gas & mining > oil & gas separators",oil & gas separators,
"oil, gas & mining > oilfield equipment",oilfield equipment,
"oil, gas & mining > quintuplex pumps",quintuplex pumps,
"oil, gas & mining > shale shakers",shale shakers,
"oil, gas & mining > stacking conveyors",stacking conveyors,
"oil, gas & mining > tanks & vessels",tanks & vessels,
"oil, gas & mining > triplex pumps",triplex pumps,
"oil, gas & mining > tunnel boring machines",tunnel boring machines,
"oil, gas & mining > underground trucks",underground trucks,
"oil, gas & mining > well control",well control,
printing,printing,
printing > 3d printers,3d printers,
printing > 3d scanners,3d scanners,
printing > book binding,book binding,
printing > book sewing machines,book sewing machines,
printing > ctf (computer to film),ctf (computer to film),
printing > ctp (computer to plate),ctp (computer to plate),
printing > collators and gatherers,collators and gatherers,
printing > die cutters,die cutters,
printing > digital printing,digital printing,
printing > envelope production and printing,envelope production and printing,
printing > flatbed digital cutting tables & plotters,flatbed digital cutting tables & plotters,
printing > flexographic printing,flexographic printing,
printing > folding machines,folding machines,
printing > guillotines,guillotines,
printing > hot stamping,hot stamping,
printing > label printing,label printing,
printing > large wide format printers,large wide format printers,
printing > letterpress,letterpress,
