hierarchy,name,description
cranes > knuckle boom cranes > mounted knuckle boom cranes,mounted knuckle boom cranes,
cranes > knuckle boom cranes > un-mounted knuckle boom cranes,un-mounted knuckle boom cranes,
cranes > tower cranes,tower cranes,
cranes > city cranes,city cranes,
cranes > bucket trucks / service trucks cranes,bucket trucks / service trucks cranes,
cranes > aerial platform lift trucks cranes,aerial platform lift trucks cranes,
cranes > carry deck cranes / pick and carry cranes,carry deck cranes / pick and carry cranes,
cranes > digger derricks cranes,digger derricks cranes,
cranes > digger derricks cranes > track digger derricks cranes,track digger derricks cranes,
cranes > digger derricks cranes > truck-mounted digger derricks cranes,truck-mounted digger derricks cranes,
cranes > mini cranes,mini cranes,
cranes > gantry cranes / overhead cranes,gantry cranes / overhead cranes,
cranes > specialized application cranes,specialized application cranes,
cranes > specialized application cranes > bridge cranes,bridge cranes,
cranes > specialized application cranes > container / stacking cranes,container / stacking cranes,
cranes > specialized application cranes > harbor / marine / barge cranes,harbor / marine / barge cranes,
cranes > specialized application cranes > pedestal cranes,pedestal cranes,
cranes > specialized application cranes > pile driving cranes,pile driving cranes,
cranes > specialized application cranes > railroad cranes,railroad cranes,
cranes > other cranes,other cranes,
cranes > other cranes > mounted other cranes,mounted other cranes,
cranes > other cranes > un-mounted other cranes,un-mounted other cranes,
crawler carriers,crawler carriers,
crawler loaders,crawler loaders,
dozers,dozers,
dozers > crawler dozers,crawler dozers,
dozers > wheel dozers,wheel dozers,
drills,drills,
drills > directional drills,directional drills,
drills > vertical drills,vertical drills,
dumpers,dumpers,
excavators,excavators,
excavators > crawler excavators,crawler excavators,
"excavators > mini (up to 12,000 lbs) excavators","mini (up to 12,000 lbs) excavators",
excavators > wheel excavators,wheel excavators,
forestry equipment,forestry equipment,
forestry equipment > feller bunchers,feller bunchers,
forestry equipment > feller bunchers > track feller bunchers,track feller bunchers,
forestry equipment > feller bunchers > wheel feller bunchers,wheel feller bunchers,
forestry equipment > processor / harvesters,processor / harvesters,
forestry equipment > processor / harvesters > track processor / harvesters,track processor / harvesters,
forestry equipment > processor / harvesters > wheel processor / harvesters,wheel processor / harvesters,
forestry equipment > delimbers,delimbers,
forestry equipment > skidders,skidders,
forestry equipment > yarders,yarders,
forestry equipment > forwarders,forwarders,
forestry equipment > log loaders,log loaders,
forestry equipment > log loaders > track log loaders,track log loaders,
forestry equipment > log loaders > wheel log loaders,wheel log loaders,
forestry equipment > log loaders > truck log loaders,truck log loaders,
forestry equipment > log loaders > trailer log loaders,trailer log loaders,
forestry equipment > log loaders > stationary log loaders,stationary log loaders,
forestry equipment > mulchers,mulchers,
forestry equipment > mulchers > track mulchers,track mulchers,
forestry equipment > mulchers > wheel mulchers,wheel mulchers,
forestry equipment > mulchers > excavator mulchers,excavator mulchers,
forestry equipment > mulchers > skid steer mulchers,skid steer mulchers,
forestry equipment > horizontal grinders,horizontal grinders,
forestry equipment > tub grinders,tub grinders,
forestry equipment > stump grinders,stump grinders,
forestry equipment > stump grinders > track stump grinders,track stump grinders,
forestry equipment > stump grinders > wheel stump grinders,wheel stump grinders,
