hierarchy,name,description
motorsports > snowmobiles > mountain snowmobiles,mountain snowmobiles,
motorsports > snowmobiles > utility snowmobiles,utility snowmobiles,
motorsports > snowmobiles > cross over snowmobiles,cross over snowmobiles,
motorsports > snowmobiles > youth snowmobiles,youth snowmobiles,
motorsports > snowmobiles > other snowmobiles,other snowmobiles,
motorsports > motorcycles,motorcycles,
motorsports > motorcycles > cruiser motorcycles,cruiser motorcycles,
motorsports > motorcycles > sport bike motorcycles,sport bike motorcycles,
motorsports > motorcycles > touring motorcycles,touring motorcycles,
motorsports > motorcycles > dirt bike motorcycles,dirt bike motorcycles,
motorsports > motorcycles > dual sport motorcycles,dual sport motorcycles,
motorsports > motorcycles > standard motorcycles,standard motorcycles,
motorsports > motorcycles > trike motorcycles,trike motorcycles,
motorsports > motorcycles > scooter motorcycles,scooter motorcycles,
motorsports > motorcycles > sport touring motorcycles,sport touring motorcycles,
motorsports > motorcycles > motocross motorcycles,motocross motorcycles,
motorsports > motorcycles > vintage motorcycles,vintage motorcycles,
motorsports > motorcycles > moped motorcycles,moped motorcycles,
motorsports > motorcycles > other motorcycles,other motorcycles,
motorsports > go karts,go karts,
drones,drones,
precision ag,precision ag,
precision ag > application / flow controls precision ag,application / flow controls precision ag,
precision ag > displays / monitors precision ag,displays / monitors precision ag,
precision ag > gps receivers / base stations precision ag,gps receivers / base stations precision ag,
precision ag > performance chips precision ag,performance chips precision ag,
precision ag > radios precision ag,radios precision ag,
precision ag > software / telematics precision ag,software / telematics precision ag,
precision ag > steering systems precision ag,steering systems precision ag,
precision ag > miscellaneous precision ag,miscellaneous precision ag,
other equipment,other equipment,
other equipment > blades/box scrapers,blades/box scrapers,
other equipment > feed grinders,feed grinders,
other equipment > feed/mixer wagon,feed/mixer wagon,
other equipment > loaders,loaders,
other equipment > power units,power units,
other equipment > miscellaneous other equipment,miscellaneous other equipment,
specialty crop equipment,specialty crop equipment,
specialty crop equipment > orchard / vineyard tractors,orchard / vineyard tractors,
specialty crop equipment > harvesters specialty crop equipment,harvesters specialty crop equipment,
specialty crop equipment > harvesters specialty crop equipment > nut harvesters specialty crop equipment,nut harvesters specialty crop equipment,
specialty crop equipment > harvesters specialty crop equipment > grape / berry harvesters specialty crop equipment,grape / berry harvesters specialty crop equipment,
specialty crop equipment > harvesters specialty crop equipment > vegetable harvesters specialty crop equipment,vegetable harvesters specialty crop equipment,
specialty crop equipment > harvesters specialty crop equipment > other harvesters specialty crop equipment,other harvesters specialty crop equipment,
specialty crop equipment > shakers,shakers,
specialty crop equipment > shakers > front shakers,front shakers,
specialty crop equipment > shakers > side shakers,side shakers,
specialty crop equipment > receivers,receivers,
specialty crop equipment > blowers,blowers,
specialty crop equipment > sweepers,sweepers,
specialty crop equipment > carts,carts,
specialty crop equipment > carts > self propelled carts,self propelled carts,
specialty crop equipment > carts > pull type carts,pull type carts,
specialty crop equipment > bin carriers,bin carriers,
specialty crop equipment > conditioners,conditioners,
specialty crop equipment > orchard sprayers,orchard sprayers,
specialty crop equipment > orchard sprayers > self propelled orchard sprayers,self propelled orchard sprayers,
specialty crop equipment > orchard sprayers > pull type orchard sprayers,pull type orchard sprayers,
specialty crop equipment > orchard sprayers > 3pt / mounted orchard sprayers,3pt / mounted orchard sprayers,
specialty crop equipment > pruners,pruners,
specialty crop equipment > pruners > tower pruners,tower pruners,
specialty crop equipment > pruners > hedger pruners,hedger pruners,
specialty crop equipment > soil / floor management,soil / floor management,
specialty crop equipment > other equipment specialty crop equipment,other equipment specialty crop equipment,
livestock equipment,livestock equipment,
livestock equipment > feeders,feeders,
livestock equipment > gates & panels,gates & panels,
livestock equipment > handling equipment,handling equipment,
livestock equipment > scales,scales,
livestock equipment > sweep & corral systems,sweep & corral systems,
livestock equipment > water tanks,water tanks,
livestock equipment > other livestock equipment,other livestock equipment,
irrigation equipment,irrigation equipment,
turf equipment,turf equipment,
turf equipment > mowers,mowers,
turf equipment > mowers > fairway mowers,fairway mowers,
turf equipment > mowers > greens & tees - riding mowers,greens & tees - riding mowers,
turf equipment > mowers > greens & tees - walking mowers,greens & tees - walking mowers,
turf equipment > mowers > rough - reel mowers,rough - reel mowers,
turf equipment > mowers > rough - rotary mowers,rough - rotary mowers,
"turf equipment > mowers > trim, surrounds & slope mowers","trim, surrounds & slope mowers",
turf equipment > greens rollers,greens rollers,
turf equipment > top dressers & spreaders,top dressers & spreaders,
turf equipment > seeders,seeders,
turf equipment > trap & bunker rakes,trap & bunker rakes,
turf equipment > miscellaneous turf equipment,miscellaneous turf equipment,
turf equipment > sprayers turf equipment,sprayers turf equipment,
"turf equipment > blowers, sweepers & vacuums turf equipment","blowers, sweepers & vacuums turf equipment",
turf equipment > aerators & dethatchers,aerators & dethatchers,
turf equipment > golf carts,golf carts,
turf equipment > golf carts > electric golf carts,electric golf carts,
turf equipment > golf carts > gas golf carts,gas golf carts,
dozers,dozers,
dozers > crawler dozers,crawler dozers,
dozers > wheel dozers,wheel dozers,
excavators,excavators,
excavators > crawler excavators,crawler excavators,
"excavators > mini (up to 12,000 lbs) excavators","mini (up to 12,000 lbs) excavators",
lifts,lifts,
lifts > forklifts,forklifts,
lifts > forklifts > pneumatic tire forklifts,pneumatic tire forklifts,
lifts > forklifts > cushion tire forklifts,cushion tire forklifts,
lifts > forklifts > rough terrain forklifts,rough terrain forklifts,
lifts > forklifts > stand up / reach forklifts,stand up / reach forklifts,
lifts > forklifts > order picker forklifts,order picker forklifts,
lifts > forklifts > truck mounted forklifts,truck mounted forklifts,
lifts > forklifts > swing reach forklifts,swing reach forklifts,
lifts > forklifts > walkie stacker forklifts,walkie stacker forklifts,
lifts > forklifts > pallet jack forklifts,pallet jack forklifts,
lifts > forklifts > side loader / bi-directional forklifts,side loader / bi-directional forklifts,
lifts > forklifts > straddle carrier forklifts,straddle carrier forklifts,
lifts > forklifts > die handler forklifts,die handler forklifts,
lifts > forklifts > other forklifts,other forklifts,
lifts > telehandlers,telehandlers,
loader backhoes,loader backhoes,
scrapers,scrapers,
scrapers > motor scrapers,motor scrapers,
scrapers > pull scrapers,pull scrapers,
skid steers,skid steers,
skid steers > track skid steers,track skid steers,
skid steers > wheel skid steers,wheel skid steers,
