hierarchy,name,description
"energy equipment > industrial process and production equipment > pulp, paper, paperboard production","pulp, paper, paperboard production",
energy equipment > industrial process and production equipment > pump,pump,
energy equipment > industrial process and production equipment > tanks,tanks,
"industrial, commercial equipment","industrial, commercial equipment",
"industrial, commercial equipment > building maintenance",building maintenance,
"industrial, commercial equipment > building maintenance > janitorial equipment",janitorial equipment,
"industrial, commercial equipment > commercial food service & cafeteria equipment",commercial food service & cafeteria equipment,
"industrial, commercial equipment > commercial food service & cafeteria equipment > food prep",food prep,
"industrial, commercial equipment > commercial food service & cafeteria equipment > food storage",food storage,
"industrial, commercial equipment > commercial food service & cafeteria equipment > tables, counters, serving bars","tables, counters, serving bars",
"industrial, commercial equipment > factory support equipment",factory support equipment,
"industrial, commercial equipment > factory support equipment > air handling",air handling,
"industrial, commercial equipment > factory support equipment > containers - storage/shipping",containers - storage/shipping,
"industrial, commercial equipment > factory support equipment > heating and ventilation",heating and ventilation,
"industrial, commercial equipment > factory support equipment > materials handling-craneage",materials handling-craneage,
"industrial, commercial equipment > food and beverage process and production equipment",food and beverage process and production equipment,
"industrial, commercial equipment > food and beverage process and production equipment > bakery equipment",bakery equipment,
"industrial, commercial equipment > food and beverage process and production equipment > dairy equipment",dairy equipment,
"industrial, commercial equipment > food and beverage process and production equipment > food process equipment",food process equipment,
"industrial, commercial equipment > food and beverage process and production equipment > meat and poultry and seafood processing",meat and poultry and seafood processing,
"industrial, commercial equipment > food and beverage process and production equipment > process and production support equipment",process and production support equipment,
"industrial, commercial equipment > industrial equipment, general","industrial equipment, general",
"industrial, commercial equipment > industrial equipment, general > batteries, all types","batteries, all types",
"industrial, commercial equipment > industrial equipment, general > electrical supplies",electrical supplies,
"industrial, commercial equipment > industrial equipment, general > engineering equipment and supplies",engineering equipment and supplies,
"industrial, commercial equipment > industrial equipment, general > garbage and refuse containers",garbage and refuse containers,
"industrial, commercial equipment > industrial equipment, general > hvac equipment",hvac equipment,
"industrial, commercial equipment > industrial equipment, general > industrial robots",industrial robots,
"industrial, commercial equipment > industrial equipment, general > laundry equipment",laundry equipment,
"industrial, commercial equipment > industrial equipment, general > mailing equipment",mailing equipment,
"industrial, commercial equipment > industrial equipment, general > pipe, valves, and fittings, industrial","pipe, valves, and fittings, industrial",
"industrial, commercial equipment > industrial pumps and compressors",industrial pumps and compressors,
"industrial, commercial equipment > industrial pumps and compressors > compressor parts and accessories",compressor parts and accessories,
"industrial, commercial equipment > industrial pumps and compressors > industrial compressors",industrial compressors,
"industrial, commercial equipment > industrial pumps and compressors > industrial pumps",industrial pumps,
"industrial, commercial equipment > packaging, bottling, converting","packaging, bottling, converting",
"industrial, commercial equipment > packaging, bottling, converting > consumer packaged goods equipment",consumer packaged goods equipment,
"industrial, commercial equipment > packaging, bottling, converting > food packaging equipment",food packaging equipment,
"industrial, commercial equipment > packaging, bottling, converting > general packaging equipment",general packaging equipment,
"industrial, commercial equipment > parks and ground maintenance",parks and ground maintenance,
"industrial, commercial equipment > parks and ground maintenance > golf carts",golf carts,
"industrial, commercial equipment > parks and ground maintenance > golf course equipment",golf course equipment,
"industrial, commercial equipment > parks and ground maintenance > mowing equipment",mowing equipment,
"industrial, commercial equipment > parks and ground maintenance > playground / amusement park equipment",playground / amusement park equipment,
"industrial, commercial equipment > power generation, transmission, and distribution equipment","power generation, transmission, and distribution equipment",
"industrial, commercial equipment > power generation, transmission, and distribution equipment > electric motors",electric motors,
"industrial, commercial equipment > power generation, transmission, and distribution equipment > generators",generators,
"industrial, commercial equipment > power generation, transmission, and distribution equipment > transformers and power distribution",transformers and power distribution,
"industrial, commercial equipment > power generation, transmission, and distribution equipment > wind and solar energy generation",wind and solar energy generation,
"industrial, commercial equipment > printing and binding equipment",printing and binding equipment,
"industrial, commercial equipment > public utility equipment",public utility equipment,
"industrial, commercial equipment > specialized machinery",specialized machinery,
"industrial, commercial equipment > specialized machinery > automotive assembly",automotive assembly,
"industrial, commercial equipment > specialized machinery > barber and beauty shop equipment",barber and beauty shop equipment,
"industrial, commercial equipment > specialized machinery > fueling equipment",fueling equipment,
"industrial, commercial equipment > specialized machinery > gambling machines and equipment",gambling machines and equipment,
"industrial, commercial equipment > specialized machinery > machinery",machinery,
"industrial, commercial equipment > specialized machinery > scales and weighing apparatus",scales and weighing apparatus,
"industrial, commercial equipment > specialized machinery > survey equipment",survey equipment,
"industrial, commercial equipment > warehouse and material handling equipment",warehouse and material handling equipment,
"industrial, commercial equipment > warehouse and material handling equipment > forklifts",forklifts,
"industrial, commercial equipment > warehouse and material handling equipment > overhead cranes",overhead cranes,
"industrial, commercial equipment > woodworking machinery",woodworking machinery,
"industrial, commercial equipment > woodworking machinery > woodworking equipment",woodworking equipment,
metalworking equipment,metalworking equipment,
metalworking equipment > bending & forming,bending & forming,
"metalworking equipment > bending & forming > tube, pipe, wire benders","tube, pipe, wire benders",
metalworking equipment > cable & wire manufacturing,cable & wire manufacturing,
metalworking equipment > cable & wire manufacturing > cable & wire equipment,cable & wire equipment,
metalworking equipment > cutting,cutting,
metalworking equipment > cutting > band saws,band saws,
metalworking equipment > cutting > cut off saws,cut off saws,
"metalworking equipment > cutting > cutters, miscellaneous","cutters, miscellaneous",
metalworking equipment > cutting > laser cutters,laser cutters,
metalworking equipment > cutting > metal cutting machines,metal cutting machines,
metalworking equipment > cutting > sawing machines,sawing machines,
metalworking equipment > drilling & boring,drilling & boring,
"metalworking equipment > drilling & boring > drilling & boring, miscellaneous","drilling & boring, miscellaneous",
metalworking equipment > grinding,grinding,
"metalworking equipment > grinding > grinders, miscellaneous","grinders, miscellaneous",
metalworking equipment > grinding > tool and cutter grinders,tool and cutter grinders,
metalworking equipment > heat treatment,heat treatment,
"metalworking equipment > heat treatment > heat treatment, miscellaneous","heat treatment, miscellaneous",
"metalworking equipment > inspection, test & measurement","inspection, test & measurement",
"metalworking equipment > inspection, test & measurement > non-destructive testing",non-destructive testing,
"metalworking equipment > metalworking, miscellaneous","metalworking, miscellaneous",
