hierarchy,name,description
metalworking machinery >  presses >  straighteners - decoilers, straighteners - decoilers ,
metalworking machinery >  production lines, production lines  ,
metalworking machinery >  production lines >  flexible production cells, flexible production cells ,
metalworking machinery >  production lines >  other production lines, other production lines ,
metalworking machinery >  sheet metal processing, sheet metal processing  ,
metalworking machinery >  sheet metal processing >  automatic punching machines, automatic punching machines ,
metalworking machinery >  sheet metal processing >  deburring machines, deburring machines ,
metalworking machinery >  sheet metal processing >  flame cutting machines, flame cutting machines ,
metalworking machinery >  sheet metal processing >  guillotine shears, guillotine shears ,
metalworking machinery >  sheet metal processing >  laser cutting machines, laser cutting machines ,
metalworking machinery >  sheet metal processing >  longitudinal and lateral slitting lines, longitudinal and lateral slitting lines ,
metalworking machinery >  sheet metal processing >  metal spinning machines, metal spinning machines ,
metalworking machinery >  sheet metal processing >  notching machines, notching machines ,
metalworking machinery >  sheet metal processing >  other sheet metal processing machines, other sheet metal processing machines ,
metalworking machinery >  sheet metal processing >  press brakes, press brakes  ,
metalworking machinery >  sheet metal processing >  profiling machines, profiling machines ,
metalworking machinery >  sheet metal processing >  punching machines, punching machines ,
metalworking machinery >  sheet metal processing >  reels & coilers, reels & coilers ,
metalworking machinery >  sheet metal processing >  ring & profile bending machines, ring & profile bending machines ,
metalworking machinery >  sheet metal processing >  round bending machines, round bending machines ,
metalworking machinery >  sheet metal processing >  steel profile shears, steel profile shears ,
metalworking machinery >  sheet metal processing >  straightening machines, straightening machines ,
metalworking machinery >  sheet metal processing >  swivel bending machines, swivel bending machines ,
metalworking machinery >  sheet metal processing >  tube bending machines, tube bending machines ,
metalworking machinery >  special processing machines, special processing machines  ,
metalworking machinery >  special processing machines >  end process machining, end process machining ,
metalworking machinery >  special processing machines >  other machines, other machines ,
metalworking machinery >  special processing machines >  planing machines, planing machines ,
metalworking machinery >  special processing machines >  revolving transfer machines, revolving transfer machines ,
"metalworking machinery >  special processing machines >  shaping, drawing & broaching machines"," shaping, drawing & broaching machines ",
metalworking machinery >  surface engineering, surface engineering  ,
metalworking machinery >  surface engineering >  blasting machines and systems, blasting machines and systems ,
metalworking machinery >  surface engineering >  cleaning machines, cleaning machines ,
metalworking machinery >  surface engineering >  enamelling lines, enamelling lines ,
metalworking machinery >  surface engineering >  grinding & polishing lines, grinding & polishing lines ,
metalworking machinery >  surface engineering >  honing machines, honing machines ,
metalworking machinery >  surface engineering >  lapping machines, lapping machines ,
metalworking machinery >  surface engineering >  other machines & lines, other machines & lines ,
metalworking machinery >  surface engineering >  vibratory finishing machines, vibratory finishing machines ,
metalworking machinery >  welding technology, welding technology  ,
metalworking machinery >  welding technology >  welding cells, welding cells ,
metalworking machinery >  welding technology >  welding device accessories, welding device accessories ,
metalworking machinery >  welding technology >  welding devices (mobile), welding devices (mobile) ,
metalworking machinery >  welding technology >  welding machine accessories, welding machine accessories ,
metalworking machinery >  welding technology >  welding machines (stationary), welding machines (stationary) ,
metalworking machinery >  welding technology >  welding positioners, welding positioners ,
metalworking machinery >  welding technology >  welding robots, welding robots ,
metalworking machinery >  welding technology >  welding and clamping tables, welding and clamping tables ,
woodworking machinery, woodworking machinery  ,
woodworking machinery >  cnc machining (wood), cnc machining (wood)  ,
woodworking machinery >  cnc machining (wood) >  cnc machining centres (wood), cnc machining centres (wood) ,
woodworking machinery >  drilling & dowelling, drilling & dowelling  ,
woodworking machinery >  drilling & dowelling >  dowel drilling machines, dowel drilling machines ,
woodworking machinery >  drilling & dowelling >  further wood drilling machines (stationary), further wood drilling machines (stationary) ,
woodworking machinery >  drilling & dowelling >  multiple spindle drilling machines, multiple spindle drilling machines ,
woodworking machinery >  drilling & dowelling >  slot mortising machines, slot mortising machines ,
woodworking machinery >  drilling & dowelling >  through-feed drilling machines, through-feed drilling machines ,
"woodworking machinery >  extraction, comminution & dryng"," extraction, comminution & dryng  ",
"woodworking machinery >  extraction, comminution & dryng >  briquetting machines", briquetting machines ,
"woodworking machinery >  extraction, comminution & dryng >  chippers", chippers ,
"woodworking machinery >  extraction, comminution & dryng >  extraction systems (wood)", extraction systems (wood) ,
"woodworking machinery >  extraction, comminution & dryng >  further devices/systems", further devices/systems ,
"woodworking machinery >  extraction, comminution & dryng >  wood drying", wood drying ,
woodworking machinery >  formatting & edge banding, formatting & edge banding  ,
woodworking machinery >  formatting & edge banding >  double end tenoners, double end tenoners ,
woodworking machinery >  formatting & edge banding >  double-sided edge banding machines, double-sided edge banding machines ,
woodworking machinery >  formatting & edge banding >  edgebanders, edgebanders ,
woodworking machinery >  formatting & edge banding >  feedback system machinery, feedback system machinery ,
woodworking machinery >  formatting & edge banding >  further machines & systems, further machines & systems ,
woodworking machinery >  formatting & edge banding >  soft forming and post forming machines, soft forming and post forming machines ,
woodworking machinery >  handling systems (wood), handling systems (wood)  ,
woodworking machinery >  handling systems (wood) >  feeders, feeders ,
woodworking machinery >  handling systems (wood) >  feeding and stacking (wood), feeding and stacking (wood) ,
"woodworking machinery >  milling, piling & turning"," milling, piling & turning  ",
"woodworking machinery >  milling, piling & turning >  further milling & mortising machines (stationary)", further milling & mortising machines (stationary) ,
"woodworking machinery >  milling, piling & turning >  punching machines", punching machines ,
"woodworking machinery >  milling, piling & turning >  routers (stationary)", routers (stationary) ,
"woodworking machinery >  milling, piling & turning >  spindle moulders", spindle moulders ,
"woodworking machinery >  milling, piling & turning >  tenon machines", tenon machines ,
"woodworking machinery >  milling, piling & turning >  tilting spindle moulders", tilting spindle moulders ,
"woodworking machinery >  milling, piling & turning >  woodturning lathes", woodturning lathes ,
woodworking machinery >  planing machines, planing machines  ,
woodworking machinery >  planing machines >  combined surface and thickness planers, combined surface and thickness planers ,
woodworking machinery >  planing machines >  further planing machines, further planing machines ,
woodworking machinery >  planing machines >  moulders/four-sided machines, moulders/four-sided machines ,
woodworking machinery >  planing machines >  surface planers, surface planers ,
woodworking machinery >  planing machines >  thicknessers, thicknessers ,
woodworking machinery >  presses, presses  ,
woodworking machinery >  presses >  carcase presses, carcase presses ,
woodworking machinery >  presses >  frame presses, frame presses ,
woodworking machinery >  presses >  further presses (wood), further presses (wood) ,
woodworking machinery >  presses >  multi-platen presses, multi-platen presses ,
woodworking machinery >  presses >  vacuum presses/membrane presses, vacuum presses/membrane presses ,
woodworking machinery >  presses >  veneer presses, veneer presses ,
woodworking machinery >  sanding & polishing, sanding & polishing  ,
woodworking machinery >  sanding & polishing >  brushing machines/fladders, brushing machines/fladders ,
woodworking machinery >  sanding & polishing >  edge sanders, edge sanders ,
woodworking machinery >  sanding & polishing >  further grinding & polishing machines (wood), further grinding & polishing machines (wood) ,
