hierarchy,name,description
farming > spreaders,spreaders,
farming > spreaders > chip spreader,chip spreader,
farming > spreaders > salt spreader,salt spreader,
farming > spreaders > other,other,
farming > tractors,tractors,
farming > tractors > crawler,crawler,
farming > tractors > tow,tow,
farming > attachments,attachments,
farming > attachments > booms,booms,
farming > attachments > buckets,buckets,
farming > attachments > cutter implements,cutter implements,
farming > attachments > grapples,grapples,
farming > attachments > hammer-breaker,hammer-breaker,
farming > attachments > jib,jib,
farming > attachments > pallet fork,pallet fork,
farming > attachments > planetary,planetary,
farming > wheels & tires,wheels & tires,
farming > wheels & tires > construction & farming,construction & farming,
farming > wheels & tires > lifts & handlers,lifts & handlers,
farming > wheels & tires > trucks & trailers,trucks & trailers,
farming > other farming equipment,other farming equipment,
farming > other farming equipment > applicator,applicator,
lifts & handlers,lifts & handlers,
lifts & handlers > aerial work platforms,aerial work platforms,
lifts & handlers > aerial work platforms > electric scissor lifts,electric scissor lifts,
lifts & handlers > aerial work platforms > engine powered scissor lifts,engine powered scissor lifts,
lifts & handlers > aerial work platforms > push around lifts,push around lifts,
lifts & handlers > aerial work platforms > towable boom lifts,towable boom lifts,
lifts & handlers > aerial work platforms > other,other,
lifts & handlers > boom lifts,boom lifts,
lifts & handlers > boom lifts > telescopic,telescopic,
lifts & handlers > boom trucks,boom trucks,
lifts & handlers > boom trucks > articulated,articulated,
lifts & handlers > boom trucks > stand-up,stand-up,
lifts & handlers > boom trucks > swing seat,swing seat,
lifts & handlers > boom trucks > other,other,
lifts & handlers > cranes,cranes,
lifts & handlers > cranes > aerial,aerial,
lifts & handlers > cranes > all terrain,all terrain,
lifts & handlers > cranes > attachments,attachments,
lifts & handlers > cranes > boom truck,boom truck,
lifts & handlers > cranes > carry deck,carry deck,
lifts & handlers > cranes > crawler,crawler,
lifts & handlers > cranes > floating,floating,
lifts & handlers > cranes > harbor,harbor,
lifts & handlers > cranes > level luffing,level luffing,
lifts & handlers > cranes > railroad,railroad,
lifts & handlers > cranes > rough terrain,rough terrain,
lifts & handlers > cranes > telescopic,telescopic,
lifts & handlers > cranes > telescopic handler,telescopic handler,
lifts & handlers > cranes > tower,tower,
lifts & handlers > cranes > truck mounted,truck mounted,
lifts & handlers > cranes > other,other,
lifts & handlers > forklifts,forklifts,
lifts & handlers > forklifts > diesel,diesel,
lifts & handlers > forklifts > electric,electric,
lifts & handlers > forklifts > gasoline,gasoline,
lifts & handlers > forklifts > heavy duty,heavy duty,
lifts & handlers > forklifts > rough terrain,rough terrain,
lifts & handlers > forklifts > telescopic,telescopic,
lifts & handlers > forklifts > other,other,
lifts & handlers > warehouse lifts,warehouse lifts,
lifts & handlers > warehouse lifts > pallet stackers,pallet stackers,
lifts & handlers > warehouse lifts > pallet trucks,pallet trucks,
lifts & handlers > warehouse lifts > other,other,
lifts & handlers > wheels & tires,wheels & tires,
lifts & handlers > wheels & tires > construction & farming,construction & farming,
lifts & handlers > wheels & tires > lifts & handlers,lifts & handlers,
lifts & handlers > wheels & tires > trucks & trailers,trucks & trailers,
lifts & handlers > other lifts & handlers,other lifts & handlers,
trucks & trailers,trucks & trailers,
trucks & trailers > boom trucks,boom trucks,
trucks & trailers > boom trucks > articulated,articulated,
trucks & trailers > boom trucks > stand-up,stand-up,
trucks & trailers > boom trucks > swing seat,swing seat,
trucks & trailers > boom trucks > other,other,
trucks & trailers > bus & vans,bus & vans,
trucks & trailers > cab chassis trucks,cab chassis trucks,
trucks & trailers > concrete mixers,concrete mixers,
trucks & trailers > dump trailers,dump trailers,
trucks & trailers > dump trucks,dump trucks,
trucks & trailers > dump trucks > articulated,articulated,
trucks & trailers > dump trucks > electric,electric,
trucks & trailers > dump trucks > mechanical,mechanical,
trucks & trailers > dump trucks > other,other,
trucks & trailers > freight trucks,freight trucks,
trucks & trailers > garbage trucks,garbage trucks,
trucks & trailers > rock truck,rock truck,
trucks & trailers > tankers,tankers,
trucks & trailers > tow trailers,tow trailers,
trucks & trailers > trailers,trailers,
trucks & trailers > water trucks,water trucks,
trucks & trailers > wheels & tires,wheels & tires,
trucks & trailers > wheels & tires > construction & farming,construction & farming,
trucks & trailers > wheels & tires > lifts & handlers,lifts & handlers,
trucks & trailers > wheels & tires > trucks & trailers,trucks & trailers,
trucks & trailers > other trucks & trailers,other trucks & trailers,
trucks & trailers > other trucks & trailers > roll-off,roll-off,
