hierarchy,name,description
"metal - machine tools > grinding machines - miscellaneous (crankshaft, sharpening, tool grinders ...)","grinding machines - miscellaneous (crankshaft, sharpening, tool grinders ...) ",
metal - machine tools > grinding machines - surface grinders,grinding machines - surface grinders ,
metal - machine tools > lathes - 0 - 3000 mm,lathes - 0 - 3000 mm ,
metal - machine tools > lathes - > 3001 mm - heavy duty lathes,lathes - > 3001 mm - heavy duty lathes ,
metal - machine tools > lathes - multispindle automatic lathes,lathes - multispindle automatic lathes ,
metal - machine tools > lathes - swiss type lathes,lathes - swiss type lathes ,
metal - machine tools > lathes - cnc lathes,lathes - cnc lathes ,
metal - machine tools > lathes - others,lathes - others ,
metal - machine tools > lathes - vertical turret lathes,lathes - vertical turret lathes ,
metal - machine tools > lathes - vertical turret lathes with cnc,lathes - vertical turret lathes with cnc ,
metal - machine tools > machining centers - 5 axis,machining centers - 5 axis ,
metal - machine tools > machining centers - high-speed (18000+ rpm),machining centers - high-speed (18000+ rpm) ,
metal - machine tools > machining centers - horizontal,machining centers - horizontal ,
metal - machine tools > machining centers - palletized,machining centers - palletized ,
metal - machine tools > machining centers - vertical,machining centers - vertical ,
metal - machine tools > milling  - travelling column milling machines,milling  - travelling column milling machines ,
metal - machine tools > milling -  universal milling machines,milling -  universal milling machines ,
metal - machine tools > milling - cnc bed type milling machines,milling - cnc bed type milling machines ,
metal - machine tools > milling - cnc universal milling machines,milling - cnc universal milling machines ,
metal - machine tools > milling - miscellaneous machines,milling - miscellaneous machines ,
metal - machine tools > milling - portal / gantry milling machines,milling - portal / gantry milling machines ,
metal - machine tools > others,others ,
metal - machine tools > planing machines,planing machines ,
metal - machine tools > rotary transfers,rotary transfers ,
metal - machine tools > saws for metal - band saws,saws for metal - band saws ,
"metal - machine tools > saws for metal - others (hacksaws, slitting saws, circular...)","saws for metal - others (hacksaws, slitting saws, circular...) ",
metal - machine tools > shaping - vertical / horizontal shaping / slotting machines,shaping - vertical / horizontal shaping / slotting machines ,
metal - machine tools > spring machines - multislide / formers / coilers,spring machines - multislide / formers / coilers ,
metal - machine tools > thread rolling machines,thread rolling machines ,
metal - presses / forging,metal - presses / forging ,
metal - presses / forging > cold forging machines,cold forging machines ,
metal - presses / forging > eccentric presses / crank presses,eccentric presses / crank presses ,
metal - presses / forging > forging hammers,forging hammers ,
metal - presses / forging > forging presses,forging presses ,
metal - presses / forging > forging rolls,forging rolls ,
metal - presses / forging > hydraulic presses,hydraulic presses ,
metal - presses / forging > induction heaters / furnaces,induction heaters / furnaces ,
metal - presses / forging > knuckle-joint stamping presses,knuckle-joint stamping presses ,
metal - presses / forging > mechanical presses,mechanical presses ,
metal - presses / forging > miscellaneous,miscellaneous ,
metal - presses / forging > preforming - trimming - calibrating presses,preforming - trimming - calibrating presses ,
metal - presses / forging > screw presses,screw presses ,
metal - presses / forging > stamping presses,stamping presses ,
metal - presses / forging > wire drawing machines,wire drawing machines ,
metal - sheet metal machines,metal - sheet metal machines ,
metal - sheet metal machines > combining machines laser / punch,combining machines laser / punch ,
metal - sheet metal machines > complete unwinding units,complete unwinding units ,
