hierarchy,name,description
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting,agricultural machinery for harvesting,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting > mowers,mowers,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting > harvesters,harvesters,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting > threshing machines,threshing machines,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting > mower parts or accessories,mower parts or accessories,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > agricultural machinery for harvesting > baler,baler,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture,dispersing and spraying appliances for agriculture,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > sprayers,sprayers,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > dusters,dusters,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > water sprinklers,water sprinklers,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > fertilizer spreaders or distributors,fertilizer spreaders or distributors,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > fog or mist generators,fog or mist generators,
industrial equipment & tools > farming and fishing and forestry and wildlife machinery and accessories > agricultural and forestry and landscape machinery and equipment > dispersing and spraying appliances for agriculture > composter,composter,
